id,role,riotId
85IyEvew1cOfP7SWSv_jpq-odDRjlgKM_oz3u78bzdsaw9JRpr8_6OEeuKAMa1HvfRNpS3-4brZ4-g,UTILITY,Knurble Lux
cOaibPgpHMseDA09a7rEM2Dr5ntM2X1q1ULyj2fLul3XJjko9RcLdRoH2xdpAw6bqxd3MjyDYknkAw,TOP,Six10 z
dUpu5eZzfxCM1lZkS4hrElWI-6TJ5toCpvwEpXwMizMhCyqu5IcXYs-WumhTAEfayeC0XUbw7Myjrg,JUNGLE,ShacStab TTV
F0dUNWgqhWTPge2HFa5YujZeTqibYNgx16e0DDBIAeoRuGs3Z09LJiIlwiKUu2FHgQ_MsC0kCa-7CQ,MIDDLE,wo hen ta
VsU5xeeF29XZi2QJegtEobEEuUNjiIcz9HhBEPh13BIo9K1MrMxiXaOJsWrnrGu99TFvP-4wVxFijQ,TOP,Wo Shi Shanyang
S-sFX2ie5J7BluPYB12QFXxaPg232AJqzodFgFTn_6ipemgbO4dntD0UVnXJ0Yv_99eYEIUHHJrrLQ,JUNGLE,João 
o_MCaL-xIbjl0DCBPVpB9lJKXGX-boxgk98OCDSQtUzvte714L2g3x_b5l5edR-sWd05wKXCyDk34g,MIDDLE,you are a human
VIVx0j64jUKMYRhUkccYq5wCd_OqZgL5kkbGWibrfQ1-ed1E0LdS0ZhCm6YcdNxqR1snsdD6NqnuMQ,BOTTOM,Kenal
23MA9ZGUcyjqI3-ju1qSfuiyeKpvDj1VqHtFPEksrhpf5XW52LQmX4VZ5h6bG6ysCt3UFIwbG_XTbQ,UTILITY,Walid Georgey
DEt-ElLfOICs7iV7DjJRwyAL4HiCz7UFaDUdVTucvO-N0Ez-eMtaCcHhAC6h-OoWMiC8VjMlI_XJmw,TOP,Deptrai
4BCPV4xRJXChfSHEhLpiPIPoJ9D4pGFYAirKRM4vOCIhoraZ2w7dNo2gkKzKOZ7c2DV__yUuXpYbTQ,JUNGLE,Miyamotô Musashî
A1e8NhtYsvJ8T0zKohLNBWGVHPKqBYSZCty4ChhLRRy1C9iiEb0Uri7zLtFCA8zzxm2w8EfU-ioKGg,TOP,Falleo
QSoqdEprpa4sPk6ubHNp9BMUSWX1j3xGvzHztpzxNnhZubxxbKQG3wlXtr5Bn1EVGtkrYsrUkVztBg,JUNGLE,owlonsky
ojA-zk128ZsuBkMikrIk1-qjMBVJ7mepz94TRvYygiUSXjtZnGBd4irrYVNX3mOBfow3HHQfG6gaZg,MIDDLE,dajor25
Pw1KQGi8BZwpXp7tytihlcabamUtbOyMpZ9FOBGf-0MYkzxxRSskvgjTLDgn_c_k5bYAMuSGiBaB1A,BOTTOM,IWSY
BA_lwGa7kmAJiRsupWI92o_OxadALNk7P2ICONUIpWnMRu0yhBE248dfv08oAEXXMTgkQRJKBOROmw,UTILITY,Walid Georgey
6IGpppxBubULW4MX9nxisbpWFZHQJVqW5pqU8CFoVXENJdBGS07NJKtQK1Hh48DnC79zaDng4GNBcg,TOP,Nillee
325wazGsMbYAMx2fVcaacgEa7_nCSigjm8iL1dFXx_nkY7YrCIYyxHXriCHLD27obZD8W8tSlBVdNQ,JUNGLE,blueface1
3QbPkfpmqwtTOxpR6sZsoQFM8jTb_HH38mAXw344XTCyM0dztvKVuBqPD9iFnOYXQQvwNeW-bsd9nw,MIDDLE,G2 Dracarys
ryqOCi4QtzQ2wqencfz7pXwbwBN1hTbtmeHepJgKzHRbTM94Qh1pnixPL3E1itWoBKpOlhEFxxfo3w,BOTTOM,TH Bellingham
ec1ZT8zSGKaJCopB_kF6TpLI3vd9DQytptMyKWpK2ElcTjUef93VsjHVv-U4FTPPPhv882zrCU2hQw,TOP,Se Jong x Suzy
4OKmYHjEMVOvnG6HcOEqzcX4iGT0t9BBn9HXef5mCew6423kxOtAyFhewE_u39_PhN9nstr7ED3N5g,JUNGLE,João 
fG2qubaoYAm51nR9yLBhg9w_wE2ukq_yRZWJmo1DaM4m2tIYhQ1_33O8TfSeVWeXnu1dodFzba1ngw,MIDDLE,SlowQ
SawKZqzXlWMC95BukddTUPrXIXBcrBZxkxCYRXFedjLQg6SsRe2dpBKGth1Bid7h6pc1-wDdlKRo7A,BOTTOM,Tirienmorri
wtOGnvu7bZ6-t6TezqCu7T4HklmqCUPubEcu370vsBodpFAOAttxQwWnnPP0bmdo7IAOX_ItlqoGpA,UTILITY,always believed
FmbhJnKrTgEJAuQQDVP89czMKfAI1a-jAsxnLVyBGRRe55_kdIre_VM1F8xnmDdRG8UajYcIDRR4ww,TOP,washed úp
ir6k4pJRKw_5gU2bXTCd5v9wFV0w68YuwmDeXG8EfBopY7CtPnSavNb3X_WqLMUxKDOP1UbrGXyELA,JUNGLE,Gernatshoo
legZbfJc8amShNE6O1j8ImHoFWxk1xTjGZOQLjcdzmRKiTD-Qzt-En2Ck-xWLw1C1ycgp3XOmbrF1A,MIDDLE,blueskies777
n1ozs_vZM7yH92dq5ybNMyIXOJBgEDjBiZdPynqhA3qFICkPTtI9PvuilBbG4F7pEzU_anaC0dZrKQ,BOTTOM,blue the wizard3
G11CeuZu50Ckks4449BrBm4HOD-9KaPne8P6TSLTU7Jd5JqgZiDVi9q3_EISV_4dXdrsHghKm6Y8eQ,UTILITY,
2kT_SORQbD5chFIa_r02EUc4UHKznPwRZgqmpOeL6nepLyFdPeNtdyeWvDuI4ZALtzzBCEPMMXzlJw,TOP,Dreilix
No-tssP9PQ5twC0oG1gpENlLQpwAts2TW3AbO1sUZ0gHTgLYZtMH3LdnPJjF3PfkF3ncwjbxLobfcw,JUNGLE,Thørs Snorresson
fou1zeJsQJkwj4vvlcVUYK-v2gJIujJb4_NRV6CF7cT5c4_u3gN_-S7iSqe7ZSwIK4nx-VZeuYUzJg,TOP,623HS
a4htcuLZaKHjmlQucPcmEuPXXZjwEXjhs-942LNRFCiuanzrPQZ4Hp7DQurpHEOlT56CvRo5pys3Yw,JUNGLE,Thørs Snorresson
42QFcfsHbxdCspFtMDPjHdP5nu5BNH-OkeUZ8Txm62kpsnAd8zs_lJWXeXb-hFicg_inGDGJFouhNQ,MIDDLE,dog no bite 
_7uxidsPhbKrT_Hkv4bdIldQoit4uE82pSXA91Zkj1nPH0C_qIm2ycXPHpHYX9HAYwC0Kb0J-Ode0A,BOTTOM,KDavid02
6mjCkMWmBjY9cvlJWVhnAf0lKW9h2cwbYufx4qvlfIPNLPqXGYxrNQjse-m7YnMFvf_Wuw5VXaAUDA,UTILITY,AboveHeights140
i8s-h-apGyK6TJUUM3OvYNw7lvm1x9_ttivhQWYVK5Ru9Zihv8wR9z50hD9T6KRnWbYxGrfbYqWiDw,TOP,KEVIŃ LEVRONE
wn_HERmY3I3y4TQYWfm17zCJ-rVaDmjO42zPrBvq5cOvk5d0BVInS8ZBh4WWvH9lzFnMHVqlitf2aA,TOP,PoEs tk
w0p_LdDMquweA12CIFRxnbPz1pm_kiXOsH_ooMdmvEIUzXCg5Xrzo0c-aKHhbsQPsWLakQS7Jkz9DQ,JUNGLE,Thørs Snorresson
6s0yaK26Zvx9WAfHQit5SepeUq-dJqWQVLFab7_U-K3jOVz6RrhOslL_5NNkcEex6zeoSKFYeE8Z5Q,MIDDLE,João 
l4j0IzoUwvzYZfzldHphg701eO-KlemGM5R2yEFm984NJjuqWfiU7rQFxhWfqbwUTw_7XgAbIM6RAA,TOP,dog no bite 
hRNFDZuDhqq087SOZ5VLetL9Nh_8QmRkJaqKRHcS3SOZTgBLzBhy_jpECldqJvCsnn-nr_xFFWT0EA,JUNGLE,TTV NattyNattLoL
zykdTRMZm6DtkSYxr4uDQRz8hTaypiExC6wCxApxt9mcE8LTjLE4FoPvQhwYb0z-LdIlev0c-GTCQA,MIDDLE,KATEVO
Udwn0pyo9aV70vPrEt5hlBmx1oYaL2infanWvhTx0ylD-HUXsZcr1-gYBlDA4wmMNdP2Iuk7xPb9IQ,BOTTOM,Notiko LFT
Lv3vH2WgTdbIMkv42ZgVxZI5IAiBEevxNk88HQnnKtMXgs987RTo5Dznei5IqBtitz-hShLNblhx6g,UTILITY,Myrtus
Ied9vM3peN85kb0adIeotw8M6Vv-e5OonoSfW2LRJQBMs0OmSYd4l7hOyn8awbzDXPlt2rjTzSG8XQ,TOP,
G68FFDW6ObV-HM6n9OaLPyXrUWzSyq22oR5QcSGTfV3MUbCP2EJ5M0RhXRMSveTEH5eEDHvPg1gU3g,MIDDLE,blueskies777
eheaywdFwuihWUc24TYTbaZsbUXoeGCbWtT6ddyNCroNw4xjkzVzV6gr3dedgmF0qWaoHfqBgLPBOg,TOP,huge green man
KQ0X7oj-ip-PwkO1OvTgWwMx6xngHvaKSEmRjby_2ArqR1xZEyz_3qyk8GYvbSwYvqAopg_63LTIZA,JUNGLE,TH Jerkz
79VkwtBu7SIFnddNVDp0SVpJO7vmjXpNyXdVA9e16_WxZLCmKrLiH5E93-RdT54EU0Zg5UFwo4AMNw,MIDDLE,KATEVO
fju2zArVq3R-e8XkKc-Kjt6AqNkzMBgO7MZywV6Ssi0D2crRq0JsF0hEnvuU9VkYK6b97cUw1Kp3-A,BOTTOM,LXKAOwl
c9s_1Ti8AKDBILgvS-pULQEdHCRLMX46qQLHdRS-z9wICE5BJN9TCjPwxkFxsQz8q_c0pY4j3nAYcg,TOP,Kenarettaut
xGAnu0dWHAyWAOsfFNWBVU2NYxpeT9QeVdgkQIMbxec1SfYhVQC5PI8JaBefdon8A8lw8gJnpY7-Dw,JUNGLE,bu rüya benim
3DTFsa9s08BqaKAsxCSGoe8aPLdR6_4dWCC23N_SuJzo-mXvIyL5fiQNAgE_B-JFu4PGXwCDuPvHwQ,MIDDLE,Pandaa Is Legend
d7dezkX-Nk96KD_WcyqF_6YKDzeyF-uRGRBXKAXEcg1qsl55RvwaiQ6aosC9AVcHPwjlLgdg1OyUew,BOTTOM,
-yODHXm1xHQ-JM3gEVcIXj42UfiDaqPJDvrChDBAHVjt6aMkPQT_3sIfbpERJOACo9zIg_Kt7Jzo7w,UTILITY,Bluesteppi
q1QUJVcK_gaS-rFoGP5hBzkJFuI93C2O-4ad3ivR5pubKzr_j-ayt-Cd0QXtYVvIpzhy9WJvHFmACA,TOP,
b6LdzkMzlFjmepcditKmTp3P5obqOnki1SJE__v4IQj1qxjEo5IO2E_7vZAFjfss4Z-evt_DWgMp7w,TOP,
vIkRD4rDDsUxsA1Sm5Tnm6zHNqd_-Zu48dV5Nq6ua6gl1UWuNovVH18z-t8ssu0kE1vy8jlRNT6sfQ,JUNGLE,Shizyphus
K2ylNUjzESvy5hZ1FJvre6mJzgMC_Ch9oxSjoH_lKQrKuT3An1o5p9YjMJREu35m72rhjQybeYZRMw,MIDDLE,Ag0ny
bRLkiPq4VEtvhqP0GXe2tJHyJue89d8Tph2TnU1cx2a1EiA-B8Zl8-zUFl_G__wmBjooZ_KNAM5dZw,BOTTOM,Ryuk2016
bs9I3AKSUFD3jTlB1mwUXhFvfFlmLJlF6e42J5mhhXuWbSLF7WYrAfxpjhDzKWxvInz4q7p_7-_e5g,UTILITY,B1G MENTAL
